"","date","county","state","fips","cases","deaths"
"1",2020-03-01,"Hillsborough","Florida","12057",99999,0
"2",2020-03-01,"Manatee","Florida","12081",1,0
"3",2020-03-02,"Hillsborough","Florida","12057",1,0
"4",2020-03-02,"Manatee","Florida","12081",1,0
"5",2020-03-03,"Hillsborough","Florida","12057",2,0
"6",2020-03-03,"Manatee","Florida","12081",1,0
"7",2020-03-04,"Hillsborough","Florida","12057",2,0
"8",2020-03-04,"Manatee","Florida","12081",1,0
"9",2020-03-05,"Hillsborough","Florida","12057",2,0
"10",2020-03-05,"Manatee","Florida","12081",1,0
"11",2020-03-05,"Santa Rosa","Florida","12113",1,0
"12",2020-03-06,"Broward","Florida","12011",2,0
"13",2020-03-06,"Hillsborough","Florida","12057",2,0
"14",2020-03-06,"Lee","Florida","12071",1,1
"15",2020-03-06,"Manatee","Florida","12081",1,0
"16",2020-03-06,"Santa Rosa","Florida","12113",1,1
"17",2020-03-07,"Broward","Florida","12011",2,0
"18",2020-03-07,"Charlotte","Florida","12015",1,0
"19",2020-03-07,"Hillsborough","Florida","12057",2,0
"20",2020-03-07,"Lee","Florida","12071",2,1
"21",2020-03-07,"Manatee","Florida","12081",2,0
"22",2020-03-07,"Okaloosa","Florida","12091",1,0
"23",2020-03-07,"Santa Rosa","Florida","12113",1,1
"24",2020-03-07,"Volusia","Florida","12127",1,0
"25",2020-03-08,"Broward","Florida","12011",3,0
"26",2020-03-08,"Charlotte","Florida","12015",1,0
"27",2020-03-08,"Hillsborough","Florida","12057",2,0
"28",2020-03-08,"Lee","Florida","12071",2,1
"29",2020-03-08,"Manatee","Florida","12081",2,0
"30",2020-03-08,"Okaloosa","Florida","12091",1,0
"31",2020-03-08,"Santa Rosa","Florida","12113",1,1
"32",2020-03-08,"Volusia","Florida","12127",1,0
"33",2020-03-09,"Broward","Florida","12011",3,0
"34",2020-03-09,"Charlotte","Florida","12015",1,0
"35",2020-03-09,"Hillsborough","Florida","12057",2,0
"36",2020-03-09,"Lee","Florida","12071",2,1
"37",2020-03-09,"Manatee","Florida","12081",2,0
"38",2020-03-09,"Okaloosa","Florida","12091",1,0
"39",2020-03-09,"Santa Rosa","Florida","12113",1,1
"40",2020-03-09,"Volusia","Florida","12127",2,0
"41",2020-03-10,"Alachua","Florida","12001",1,0
"42",2020-03-10,"Broward","Florida","12011",4,0
"43",2020-03-10,"Charlotte","Florida","12015",1,0
"44",2020-03-10,"Collier","Florida","12021",3,0
"45",2020-03-10,"Hillsborough","Florida","12057",2,0
"46",2020-03-10,"Lee","Florida","12071",2,1
"47",2020-03-10,"Manatee","Florida","12081",2,0
"48",2020-03-10,"Nassau","Florida","12089",1,0
"49",2020-03-10,"Okaloosa","Florida","12091",1,0
"50",2020-03-10,"Pasco","Florida","12101",1,0
"51",2020-03-10,"Pinellas","Florida","12103",2,0
"52",2020-03-10,"Santa Rosa","Florida","12113",1,1
"53",2020-03-10,"Volusia","Florida","12127",2,0
"54",2020-03-11,"Alachua","Florida","12001",1,0
"55",2020-03-11,"Broward","Florida","12011",5,0
"56",2020-03-11,"Charlotte","Florida","12015",1,0
"57",2020-03-11,"Collier","Florida","12021",3,0
"58",2020-03-11,"Hillsborough","Florida","12057",2,0
"59",2020-03-11,"Lee","Florida","12071",2,1
"60",2020-03-11,"Manatee","Florida","12081",2,0
"61",2020-03-11,"Miami-Dade","Florida","12086",1,0
"62",2020-03-11,"Nassau","Florida","12089",1,0
"63",2020-03-11,"Okaloosa","Florida","12091",1,0
"64",2020-03-11,"Pasco","Florida","12101",1,0
"65",2020-03-11,"Pinellas","Florida","12103",2,0
"66",2020-03-11,"Santa Rosa","Florida","12113",1,1
"67",2020-03-11,"St. Johns","Florida","12109",1,0
"68",2020-03-11,"Volusia","Florida","12127",2,0
"69",2020-03-12,"Alachua","Florida","12001",2,0
"70",2020-03-12,"Broward","Florida","12011",12,0
"71",2020-03-12,"Charlotte","Florida","12015",1,0
"72",2020-03-12,"Clay","Florida","12019",1,0
"73",2020-03-12,"Collier","Florida","12021",3,0
"74",2020-03-12,"Duval","Florida","12031",1,0
"75",2020-03-12,"Hillsborough","Florida","12057",3,0
"76",2020-03-12,"Lee","Florida","12071",4,1
"77",2020-03-12,"Manatee","Florida","12081",2,0
"78",2020-03-12,"Miami-Dade","Florida","12086",2,0
"79",2020-03-12,"Nassau","Florida","12089",1,0
"80",2020-03-12,"Okaloosa","Florida","12091",1,0
"81",2020-03-12,"Palm Beach","Florida","12099",2,0
"82",2020-03-12,"Pasco","Florida","12101",1,0
"83",2020-03-12,"Pinellas","Florida","12103",2,0
"84",2020-03-12,"Santa Rosa","Florida","12113",1,1
"85",2020-03-12,"Sarasota","Florida","12115",2,0
"86",2020-03-12,"Seminole","Florida","12117",1,0
"87",2020-03-12,"St. Johns","Florida","12109",1,0
"88",2020-03-12,"Volusia","Florida","12127",3,0
"89",2020-03-13,"Alachua","Florida","12001",3,0
"90",2020-03-13,"Broward","Florida","12011",21,0
"91",2020-03-13,"Charlotte","Florida","12015",1,0
"92",2020-03-13,"Clay","Florida","12019",1,0
"93",2020-03-13,"Collier","Florida","12021",3,0
"94",2020-03-13,"Duval","Florida","12031",1,0
"95",2020-03-13,"Hillsborough","Florida","12057",3,0
"96",2020-03-13,"Lee","Florida","12071",4,1
"97",2020-03-13,"Manatee","Florida","12081",4,0
"98",2020-03-13,"Miami-Dade","Florida","12086",8,0
"99",2020-03-13,"Nassau","Florida","12089",1,0
"100",2020-03-13,"Okaloosa","Florida","12091",1,0
"101",2020-03-13,"Orange","Florida","12095",1,0
"102",2020-03-13,"Osceola","Florida","12097",1,0
"103",2020-03-13,"Palm Beach","Florida","12099",5,0
"104",2020-03-13,"Pasco","Florida","12101",1,0
"105",2020-03-13,"Pinellas","Florida","12103",2,0
"106",2020-03-13,"Santa Rosa","Florida","12113",1,1
"107",2020-03-13,"Sarasota","Florida","12115",2,0
"108",2020-03-13,"Seminole","Florida","12117",1,0
"109",2020-03-13,"St. Johns","Florida","12109",1,0
"110",2020-03-13,"Volusia","Florida","12127",4,0
"111",2020-03-14,"Alachua","Florida","12001",3,0
"112",2020-03-14,"Broward","Florida","12011",21,0
"113",2020-03-14,"Charlotte","Florida","12015",1,0
"114",2020-03-14,"Clay","Florida","12019",1,0
"115",2020-03-14,"Collier","Florida","12021",3,0
"116",2020-03-14,"Duval","Florida","12031",1,0
"117",2020-03-14,"Hillsborough","Florida","12057",3,0
"118",2020-03-14,"Lee","Florida","12071",4,2
"119",2020-03-14,"Manatee","Florida","12081",4,0
"120",2020-03-14,"Miami-Dade","Florida","12086",8,0
"121",2020-03-14,"Nassau","Florida","12089",1,0
"122",2020-03-14,"Okaloosa","Florida","12091",1,0
"123",2020-03-14,"Orange","Florida","12095",1,0
"124",2020-03-14,"Osceola","Florida","12097",1,0
"125",2020-03-14,"Palm Beach","Florida","12099",5,0
"126",2020-03-14,"Pasco","Florida","12101",1,0
"127",2020-03-14,"Pinellas","Florida","12103",2,0
"128",2020-03-14,"Santa Rosa","Florida","12113",1,1
"129",2020-03-14,"Sarasota","Florida","12115",2,0
"130",2020-03-14,"Seminole","Florida","12117",1,0
"131",2020-03-14,"St. Johns","Florida","12109",1,0
"132",2020-03-14,"Volusia","Florida","12127",4,0
"133",2020-03-15,"Alachua","Florida","12001",4,0
"134",2020-03-15,"Baker","Florida","12003",1,0
"135",2020-03-15,"Broward","Florida","12011",37,0
"136",2020-03-15,"Charlotte","Florida","12015",1,0
"137",2020-03-15,"Citrus","Florida","12017",1,0
"138",2020-03-15,"Clay","Florida","12019",3,0
"139",2020-03-15,"Collier","Florida","12021",5,0
"140",2020-03-15,"Duval","Florida","12031",4,0
"141",2020-03-15,"Hillsborough","Florida","12057",6,0
"142",2020-03-15,"Lee","Florida","12071",5,2
"143",2020-03-15,"Manatee","Florida","12081",4,0
"144",2020-03-15,"Miami-Dade","Florida","12086",13,0
"145",2020-03-15,"Nassau","Florida","12089",1,0
"146",2020-03-15,"Okaloosa","Florida","12091",1,0
"147",2020-03-15,"Orange","Florida","12095",2,0
"148",2020-03-15,"Osceola","Florida","12097",1,0
"149",2020-03-15,"Palm Beach","Florida","12099",5,0
"150",2020-03-15,"Pasco","Florida","12101",2,0
"151",2020-03-15,"Pinellas","Florida","12103",2,0
"152",2020-03-15,"Santa Rosa","Florida","12113",1,1
"153",2020-03-15,"Sarasota","Florida","12115",2,0
"154",2020-03-15,"Seminole","Florida","12117",1,0
"155",2020-03-15,"St. Johns","Florida","12109",2,0
"156",2020-03-15,"Volusia","Florida","12127",5,0
"157",2020-03-16,"Alachua","Florida","12001",4,0
"158",2020-03-16,"Baker","Florida","12003",1,0
"159",2020-03-16,"Broward","Florida","12011",39,0
"160",2020-03-16,"Charlotte","Florida","12015",1,0
"161",2020-03-16,"Citrus","Florida","12017",1,0
"162",2020-03-16,"Clay","Florida","12019",3,0
"163",2020-03-16,"Collier","Florida","12021",6,0
"164",2020-03-16,"Duval","Florida","12031",5,0
"165",2020-03-16,"Escambia","Florida","12033",1,0
"166",2020-03-16,"Hillsborough","Florida","12057",6,0
"167",2020-03-16,"Lake","Florida","12069",1,0
"168",2020-03-16,"Lee","Florida","12071",5,2
"169",2020-03-16,"Manatee","Florida","12081",5,0
"170",2020-03-16,"Miami-Dade","Florida","12086",23,0
"171",2020-03-16,"Nassau","Florida","12089",1,0
"172",2020-03-16,"Okaloosa","Florida","12091",1,0
"173",2020-03-16,"Orange","Florida","12095",4,1
"174",2020-03-16,"Osceola","Florida","12097",4,0
"175",2020-03-16,"Palm Beach","Florida","12099",7,0
"176",2020-03-16,"Pasco","Florida","12101",2,0
"177",2020-03-16,"Pinellas","Florida","12103",4,0
"178",2020-03-16,"Santa Rosa","Florida","12113",1,1
"179",2020-03-16,"Sarasota","Florida","12115",3,0
"180",2020-03-16,"Seminole","Florida","12117",4,0
"181",2020-03-16,"St. Johns","Florida","12109",2,0
"182",2020-03-16,"Volusia","Florida","12127",7,0
"183",2020-03-17,"Alachua","Florida","12001",6,0
"184",2020-03-17,"Baker","Florida","12003",1,0
"185",2020-03-17,"Brevard","Florida","12009",1,0
"186",2020-03-17,"Broward","Florida","12011",55,1
"187",2020-03-17,"Charlotte","Florida","12015",1,0
"188",2020-03-17,"Citrus","Florida","12017",2,0
"189",2020-03-17,"Clay","Florida","12019",4,0
"190",2020-03-17,"Collier","Florida","12021",7,0
"191",2020-03-17,"Duval","Florida","12031",10,0
"192",2020-03-17,"Escambia","Florida","12033",1,0
"193",2020-03-17,"Hillsborough","Florida","12057",9,0
"194",2020-03-17,"Lake","Florida","12069",1,0
"195",2020-03-17,"Lee","Florida","12071",7,2
"196",2020-03-17,"Manatee","Florida","12081",7,1
"197",2020-03-17,"Miami-Dade","Florida","12086",43,0
"198",2020-03-17,"Nassau","Florida","12089",1,0
"199",2020-03-17,"Okaloosa","Florida","12091",2,0
"200",2020-03-17,"Orange","Florida","12095",6,1
"201",2020-03-17,"Osceola","Florida","12097",7,0
"202",2020-03-17,"Palm Beach","Florida","12099",11,0
"203",2020-03-17,"Pasco","Florida","12101",2,0
"204",2020-03-17,"Pinellas","Florida","12103",4,0
"205",2020-03-17,"Polk","Florida","12105",1,0
"206",2020-03-17,"Santa Rosa","Florida","12113",1,1
"207",2020-03-17,"Sarasota","Florida","12115",4,0
"208",2020-03-17,"Seminole","Florida","12117",4,0
"209",2020-03-17,"St. Johns","Florida","12109",3,0
"210",2020-03-17,"Volusia","Florida","12127",9,0
"211",2020-03-18,"Alachua","Florida","12001",7,0
"212",2020-03-18,"Baker","Florida","12003",1,0
"213",2020-03-18,"Brevard","Florida","12009",2,0
"214",2020-03-18,"Broward","Florida","12011",80,1
"215",2020-03-18,"Charlotte","Florida","12015",1,0
"216",2020-03-18,"Citrus","Florida","12017",3,0
"217",2020-03-18,"Clay","Florida","12019",4,1
"218",2020-03-18,"Collier","Florida","12021",13,0
"219",2020-03-18,"Duval","Florida","12031",14,0
"220",2020-03-18,"Escambia","Florida","12033",1,0
"221",2020-03-18,"Hillsborough","Florida","12057",14,0
"222",2020-03-18,"Lake","Florida","12069",2,0
"223",2020-03-18,"Lee","Florida","12071",11,2
"224",2020-03-18,"Leon","Florida","12073",1,0
"225",2020-03-18,"Manatee","Florida","12081",8,1
"226",2020-03-18,"Miami-Dade","Florida","12086",77,0
"227",2020-03-18,"Nassau","Florida","12089",1,0
"228",2020-03-18,"Okaloosa","Florida","12091",3,0
"229",2020-03-18,"Orange","Florida","12095",11,1
"230",2020-03-18,"Osceola","Florida","12097",8,0
"231",2020-03-18,"Palm Beach","Florida","12099",20,0
"232",2020-03-18,"Pasco","Florida","12101",3,0
"233",2020-03-18,"Pinellas","Florida","12103",12,0
"234",2020-03-18,"Polk","Florida","12105",2,0
"235",2020-03-18,"Santa Rosa","Florida","12113",1,1
"236",2020-03-18,"Sarasota","Florida","12115",4,0
"237",2020-03-18,"Seminole","Florida","12117",7,0
"238",2020-03-18,"St. Johns","Florida","12109",4,0
"239",2020-03-18,"Sumter","Florida","12119",1,0
"240",2020-03-18,"Volusia","Florida","12127",9,0
"241",2020-03-18,"Walton","Florida","12131",1,0
"242",2020-03-19,"Alachua","Florida","12001",11,0
"243",2020-03-19,"Baker","Florida","12003",1,0
"244",2020-03-19,"Brevard","Florida","12009",3,0
"245",2020-03-19,"Broward","Florida","12011",96,1
"246",2020-03-19,"Charlotte","Florida","12015",1,0
"247",2020-03-19,"Citrus","Florida","12017",3,0
"248",2020-03-19,"Clay","Florida","12019",4,1
"249",2020-03-19,"Collier","Florida","12021",18,0
"250",2020-03-19,"Duval","Florida","12031",15,1
"251",2020-03-19,"Escambia","Florida","12033",1,0
"252",2020-03-19,"Hernando","Florida","12053",4,0
"253",2020-03-19,"Hillsborough","Florida","12057",20,0
"254",2020-03-19,"Indian River","Florida","12061",1,0
"255",2020-03-19,"Jackson","Florida","12063",1,0
"256",2020-03-19,"Lake","Florida","12069",3,0
"257",2020-03-19,"Lee","Florida","12071",11,2
"258",2020-03-19,"Leon","Florida","12073",3,0
"259",2020-03-19,"Manatee","Florida","12081",9,1
"260",2020-03-19,"Martin","Florida","12085",1,0
"261",2020-03-19,"Miami-Dade","Florida","12086",101,0
"262",2020-03-19,"Nassau","Florida","12089",1,0
"263",2020-03-19,"Okaloosa","Florida","12091",5,0
"264",2020-03-19,"Orange","Florida","12095",19,1
"265",2020-03-19,"Osceola","Florida","12097",13,0
"266",2020-03-19,"Palm Beach","Florida","12099",28,0
"267",2020-03-19,"Pasco","Florida","12101",5,0
"268",2020-03-19,"Pinellas","Florida","12103",16,0
"269",2020-03-19,"Polk","Florida","12105",4,0
"270",2020-03-19,"Santa Rosa","Florida","12113",1,1
"271",2020-03-19,"Sarasota","Florida","12115",6,0
"272",2020-03-19,"Seminole","Florida","12117",13,0
"273",2020-03-19,"St. Johns","Florida","12109",4,0
"274",2020-03-19,"Sumter","Florida","12119",2,0
"275",2020-03-19,"Volusia","Florida","12127",9,0
"276",2020-03-19,"Walton","Florida","12131",1,0
"277",2020-03-20,"Alachua","Florida","12001",15,0
"278",2020-03-20,"Baker","Florida","12003",1,0
"279",2020-03-20,"Brevard","Florida","12009",4,0
"280",2020-03-20,"Broward","Florida","12011",128,2
"281",2020-03-20,"Charlotte","Florida","12015",2,0
"282",2020-03-20,"Citrus","Florida","12017",3,0
"283",2020-03-20,"Clay","Florida","12019",4,1
"284",2020-03-20,"Collier","Florida","12021",25,0
"285",2020-03-20,"Duval","Florida","12031",17,1
"286",2020-03-20,"Escambia","Florida","12033",1,0
"287",2020-03-20,"Hernando","Florida","12053",4,0
"288",2020-03-20,"Hillsborough","Florida","12057",32,0
"289",2020-03-20,"Indian River","Florida","12061",3,0
"290",2020-03-20,"Jackson","Florida","12063",1,0
"291",2020-03-20,"Lake","Florida","12069",3,0
"292",2020-03-20,"Lee","Florida","12071",14,2
"293",2020-03-20,"Leon","Florida","12073",4,0
"294",2020-03-20,"Manatee","Florida","12081",10,1
"295",2020-03-20,"Martin","Florida","12085",1,0
"296",2020-03-20,"Miami-Dade","Florida","12086",124,0
"297",2020-03-20,"Monroe","Florida","12087",1,0
"298",2020-03-20,"Nassau","Florida","12089",1,0
"299",2020-03-20,"Okaloosa","Florida","12091",7,0
"300",2020-03-20,"Orange","Florida","12095",23,1
"301",2020-03-20,"Osceola","Florida","12097",13,0
"302",2020-03-20,"Palm Beach","Florida","12099",41,0
"303",2020-03-20,"Pasco","Florida","12101",6,0
"304",2020-03-20,"Pinellas","Florida","12103",22,0
"305",2020-03-20,"Polk","Florida","12105",9,0
"306",2020-03-20,"Santa Rosa","Florida","12113",2,1
"307",2020-03-20,"Sarasota","Florida","12115",8,0
"308",2020-03-20,"Seminole","Florida","12117",13,0
"309",2020-03-20,"St. Johns","Florida","12109",7,0
"310",2020-03-20,"Sumter","Florida","12119",2,0
"311",2020-03-20,"Volusia","Florida","12127",10,0
"312",2020-03-20,"Walton","Florida","12131",3,0
"313",2020-03-21,"Alachua","Florida","12001",25,0
"314",2020-03-21,"Baker","Florida","12003",1,0
"315",2020-03-21,"Bay","Florida","12005",1,0
"316",2020-03-21,"Brevard","Florida","12009",5,0
"317",2020-03-21,"Broward","Florida","12011",164,3
"318",2020-03-21,"Charlotte","Florida","12015",2,0
"319",2020-03-21,"Citrus","Florida","12017",8,0
"320",2020-03-21,"Clay","Florida","12019",6,1
"321",2020-03-21,"Collier","Florida","12021",28,0
"322",2020-03-21,"Duval","Florida","12031",25,2
"323",2020-03-21,"Escambia","Florida","12033",1,0
"324",2020-03-21,"Hernando","Florida","12053",5,0
"325",2020-03-21,"Highlands","Florida","12055",1,0
"326",2020-03-21,"Hillsborough","Florida","12057",47,0
"327",2020-03-21,"Indian River","Florida","12061",5,0
"328",2020-03-21,"Jackson","Florida","12063",1,0
"329",2020-03-21,"Lake","Florida","12069",6,0
"330",2020-03-21,"Lee","Florida","12071",17,2
"331",2020-03-21,"Leon","Florida","12073",4,0
"332",2020-03-21,"Manatee","Florida","12081",13,1
"333",2020-03-21,"Marion","Florida","12083",2,0
